district_id,district_name,borough_id,borough_name,centroid_lon,centroid_lat
101,Floral Park,4,Queens,-73.7077516214,40.7423588861
102,Floyd Bennett Field,3,Brooklyn,-73.8931683308,40.5920699927
103,Flushing,4,Queens,-73.8140319111,40.7523719255
104,Flushing Meadows Corona Park,4,Queens,-73.8406421996,40.7390657262
105,Fordham,2,Bronx,-73.8935258007,40.8618907308
106,Forest Hills,4,Queens,-73.8470236698,40.7200450397
107,Forest Park,4,Queens,-73.8739116247,40.695393296
108,Fort Greene,3,Brooklyn,-73.9749678356,40.6905974792
109,Fort Hamilton,3,Brooklyn,-74.0312194014,40.6150264736
110,Fort Wadsworth,5,Staten Island,-74.0581248588,40.6005472089
111,Fresh Meadows,4,Queens,-73.7847226992,40.7389120331
112,Freshkills Park,5,Staten Island,-74.1829188109,40.5757635856
113,Gerritsen Beach,3,Brooklyn,-73.9275212679,40.5928738206
114,Glen Oaks,4,Queens,-73.7157531982,40.7529020497
115,Glendale,4,Queens,-73.8791334584,40.7034524028
116,Governors Island,1,Manhattan,-74.0190727525,40.6887811722
117,Gowanus,3,Brooklyn,-73.9900962035,40.6757841027
118,Gramercy,1,Manhattan,-73.9850319312,40.7358182422
119,Graniteville,5,Staten Island,-74.1544077007,40.6196731407
120,Grant City,5,Staten Island,-74.1074422187,40.5792019034
121,Gravesend,3,Brooklyn,-73.9816494072,40.5946566014
122,Great Kills,5,Staten Island,-74.15327779,40.5542652088
123,Great Kills Park,5,Staten Island,-74.1285318037,40.5457699075
124,Green-Wood Cemetery,3,Brooklyn,-73.9902349381,40.6521172724
125,Greenpoint,3,Brooklyn,-73.9460714657,40.7276297869
126,Greenwich Village,1,Manhattan,-73.9965891145,40.7314085481
127,Grymes Hill,5,Staten Island,-74.0939536269,40.6153732403
128,Harlem,1,Manhattan,-73.9475672443,40.8167667911
129,Hart Island,2,Bronx,-73.7699844036,40.8537917439
130,Hell's Kitchen,1,Manhattan,-73.994202439,40.7624207214
131,Highbridge,2,Bronx,-73.927744597,40.8368956392
132,Hoffman Island,5,Staten Island,-74.0539174288,40.5788515075
133,Hollis,4,Queens,-73.7669815778,40.7122015264
134,Hollis Hills,4,Queens,-73.7532517355,40.7335035764
135,Holliswood,4,Queens,-73.7691033719,40.7212482775
136,Howard Beach,4,Queens,-73.830175834,40.6553575226
137,Howard Beach,4,Queens,-73.8446917342,40.6578013623
138,Howland Hook,5,Staten Island,-74.1791004398,40.6334046982
139,Huguenot,5,Staten Island,-74.1697959164,40.5325047404
140,Hunts Point,2,Bronx,-73.8823247233,40.8108135098
141,Inwood,1,Manhattan,-73.9236437282,40.8672828815
142,Jackson Heights,4,Queens,-73.8754557898,40.7526244323
143,Jamaica,4,Queens,-73.7887277178,40.6888769666
144,Jamaica Bay,3,Brooklyn,-73.8663744399,40.5868323505
145,Jamaica Bay,3,Brooklyn,-73.8698022601,40.5974521823
146,Jamaica Bay,3,Brooklyn,-73.8705499019,40.6003040231
147,Jamaica Bay,3,Brooklyn,-73.8573950149,40.5992871672
148,Jamaica Bay,3,Brooklyn,-73.8676351829,40.6036118737
149,Jamaica Bay,3,Brooklyn,-73.8680715893,40.6079043012
150,Jamaica Bay,3,Brooklyn,-73.8351925432,40.6073714631
151,Jamaica Bay,3,Brooklyn,-73.8713282294,40.6080200438
152,Jamaica Bay,3,Brooklyn,-73.8545094177,40.6113245993
153,Jamaica Bay,3,Brooklyn,-73.8446662084,40.609767653
154,Jamaica Bay,3,Brooklyn,-73.8346688255,40.6198864022
155,Jamaica Bay,3,Brooklyn,-73.8709387602,40.6212539628
156,Jamaica Bay,3,Brooklyn,-73.8337023634,40.6274901113
157,Jamaica Bay,3,Brooklyn,-73.8545453058,40.6240214114
158,Jamaica Bay,3,Brooklyn,-73.8404036275,40.6293701124
159,Jamaica Bay,3,Brooklyn,-73.8506448266,40.6339022382
160,Jamaica Estates,4,Queens,-73.7889176391,40.7197015313
161,Jamaica Hills,4,Queens,-73.7994158935,40.7134146351
162,John F. Kennedy International Airport,4,Queens,-73.7865619612,40.646937385
163,Kensington,3,Brooklyn,-73.9756474899,40.6394922952
164,Kew Gardens,4,Queens,-73.8290852933,40.7085006851
165,Kew Gardens Hills,4,Queens,-73.8197989292,40.7247438763
166,Kingsbridge,1,Bronx,-73.9004126106,40.8760752569
167,Kips Bay,1,Manhattan,-73.9774916898,40.7406911517
168,LaGuardia Airport,4,Queens,-73.873239318,40.7746101141
169,Latourette Park,5,Staten Island,-74.137571602,40.5844413454
170,Laurelton,4,Queens,-73.7429113639,40.6766467798
171,Liberty Island,1,Manhattan,-74.0452874426,40.6898602598
172,Lighthouse Hill,5,Staten Island,-74.1389737181,40.5735853302
173,Little Italy,1,Manhattan,-73.9974089914,40.7189024854
174,Little Neck,4,Queens,-73.7303919881,40.7654937648
175,Long Island City,4,Queens,-73.9381157862,40.7487095446
176,Longwood,2,Bronx,-73.9003997117,40.8208151217
177,Lower East Side,1,Manhattan,-73.9846161779,40.7160872967
178,Manhattan Beach,3,Brooklyn,-73.943246584,40.5783944284
179,Marble Hill,1,Manhattan,-73.9103841262,40.8759590867
180,Marine Park,3,Brooklyn,-73.9172394444,40.5959105741
181,Marine Park,3,Brooklyn,-73.9343017637,40.6113221412
182,Marine Park,3,Brooklyn,-73.9198534918,40.5978458562
183,Mariners Harbor,5,Staten Island,-74.1574370239,40.6332561226
184,Maspeth,4,Queens,-73.9056070772,40.7262092016
185,Melrose,2,Bronx,-73.9176530969,40.8204378585
186,Middle Village,4,Queens,-73.8791907158,40.7156475371
187,Midland Beach,5,Staten Island,-74.0928430175,40.5738989897
188,Midtown,1,Manhattan,-73.9765987029,40.7550903054
189,Midwood,3,Brooklyn,-73.9606277849,40.6200842835
190,Mill Basin,3,Brooklyn,-73.9122471196,40.6110727491
191,Morningside Heights,1,Manhattan,-73.9620904235,40.8094173133
192,Morris Heights,2,Bronx,-73.9180542916,40.8499672226
193,Morris Park,2,Bronx,-73.8511793704,40.8512422582
194,Morrisania,2,Bronx,-73.9041482452,40.8296104998
195,Mott Haven,2,Bronx,-73.9192474193,40.8112705294
196,Mount Eden,2,Bronx,-73.9174000497,40.8414571589
197,Mount Hope,2,Bronx,-73.9065700765,40.8484857365
198,Murray Hill,1,Manhattan,-73.9754831785,40.7479097366
199,Navy Yard,3,Brooklyn,-73.9716404427,40.7010927043
200,Neponsit,4,Queens,-73.8615101724,40.5716670262
201,New Brighton,5,Staten Island,-74.0909897164,40.6416750794
202,New Dorp,5,Staten Island,-74.1159593326,40.5725746068
203,New Dorp Beach,5,Staten Island,-74.10311676,40.5662182278
204,New Springville,5,Staten Island,-74.1594471994,40.5850646076
205,NoHo,1,Manhattan,-73.993368441,40.727036381
206,Nolita,1,Manhattan,-73.9951223886,40.7223397435
207,North Brother Island,2,Bronx,-73.8984519246,40.8006786613
208,North Riverdale,2,Bronx,-73.9046654487,40.9076059299
209,Norwood,2,Bronx,-73.8802532439,40.8762631765
210,Oakwood,5,Staten Island,-74.1175928995,40.5588093732
211,Olinville,2,Bronx,-73.867047864,40.8789244807
212,Ozone Park,4,Queens,-73.8463644195,40.6790826402
213,Park Hill,5,Staten Island,-74.0801947687,40.613164494
214,Park Slope,3,Brooklyn,-73.9786756149,40.6735978658
215,Parkchester,2,Bronx,-73.8662163751,40.8357392229
216,Pelham Bay,2,Bronx,-73.8340418999,40.8496676292
217,Pelham Bay Park,2,Bronx,-73.7865253762,40.8732854826
218,Pelham Bay Park,2,Bronx,-73.7862090218,40.8737469742
219,Pelham Bay Park,2,Bronx,-73.807938674,40.8686541577
220,Pelham Gardens,2,Bronx,-73.8421485612,40.8617250276
221,Pelham Islands,2,Bronx,-73.7889318253,40.8349507379
222,Pelham Islands,2,Bronx,-73.8047585809,40.8417988922
223,Pelham Islands,2,Bronx,-73.7811512244,40.8554842379
224,Pelham Islands,2,Bronx,-73.7833645582,40.8556590371
225,Pelham Islands,2,Bronx,-73.78306538,40.8625067119
226,Pelham Islands,2,Bronx,-73.7841384483,40.8628040454
227,Pelham Islands,2,Bronx,-73.7749535625,40.8616259182
228,Pelham Islands,2,Bronx,-73.7699379852,40.8653193504
229,Pelham Islands,2,Bronx,-73.7673123152,40.8670472829
230,Pelham Islands,2,Bronx,-73.7714595167,40.8712632229
231,Pelham Islands,2,Bronx,-73.7743142739,40.8745015382
232,Pelham Islands,2,Bronx,-73.7825984578,40.874986428
233,Pelham Islands,2,Bronx,-73.7811726864,40.8764529536
234,Pelham Islands,2,Bronx,-73.7867509099,40.8804542808
235,Pleasant Plains,5,Staten Island,-74.2253728271,40.5203080119
236,Plum Beach,3,Brooklyn,-73.9179098673,40.5838791731
237,Port Ivory,5,Staten Island,-74.1779079311,40.6426587465
238,Port Morris,2,Bronx,-73.9106506484,40.8048022195
239,Port Richmond,5,Staten Island,-74.137532119,40.6329442319
240,Prince's Bay,5,Staten Island,-74.1993862176,40.5229748418
241,Prospect Heights,3,Brooklyn,-73.9686539064,40.678093056
242,Prospect Park,3,Brooklyn,-73.969012444,40.6626809896
243,Prospect-Lefferts Gardens,3,Brooklyn,-73.9512645006,40.6595767553
244,Queens Village,4,Queens,-73.7424817294,40.7166746247
245,Randall Manor,5,Staten Island,-74.1121473353,40.6379753019
246,Randall's Island,1,Manhattan,-73.9245960478,40.791000093
247,Red Hook,3,Brooklyn,-74.0092038576,40.6747380642
248,Rego Park,4,Queens,-73.861480178,40.7263336951
249,Richmond Hill,4,Queens,-73.826221472,40.6919088682
250,Richmondtown,5,Staten Island,-74.1313560861,40.5703367731
251,Ridgewood,4,Queens,-73.905801782,40.7053791932
252,Rikers Island,2,Bronx,-73.8826481467,40.7911280779
253,Riverdale,2,Bronx,-73.9126635751,40.893129302
254,Rockaway Beach,4,Queens,-73.8096718211,40.5876448515
255,Rockaway Park,4,Queens,-73.8318947694,40.5812791628
256,Roosevelt Island,1,Manhattan,-73.9499424039,40.7619082759
257,Rosebank,5,Staten Island,-74.0721091378,40.6130227773
258,Rosedale,4,Queens,-73.7387144151,40.6582270851
259,Rossville,5,Staten Island,-74.2064146103,40.5496532895
260,Schuylerville,2,Bronx,-73.8323672806,40.8373818388
